imie;nazwisko;pesel
Karina;Jarkiewicz;20211921738
Kazimierz;Obuchowicz;06300547883
Konrad;Musiolik;01323183399
Emil;Skowyra;38122217291
Jakub;Miszkurka;18050655828
Ignacy;Czerniec;89011831414
Iwo;Palica;62033078021
Mariusz;Ellwart;64110214786
Rozalia;Czerwionka;90012210403
Jan;Karpiak;88061599677
Klara;Balcewicz;53120631843
Ksawery;Makulec;90061602673
Krystyna;Korniak;36012316466
Emil;Sot;99030129849
Ida;Materka;04262020516
Artur;Przekop;17071272551
Gaja;Kosman;11243083819
Michał;Roszko;43052656751
Kamil;Hanus;22022418056
Leon;Sierota;08302825703
Marcel;Filak;87052681193
Ignacy;Sondej;35052507014
Cezary;Samoraj;33110719928
Fryderyk;Polasik;90102934350
Natasza;Doroba;08013075925
